OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious
201,ABFEA791-9522-46E8-A748-5F936AFD0451,yellow-poplar,Liriodendron,tulipifera,NA,LITU                ,189796,41:03.0,41:47.8,S-T18-LITU-017,2770,,13.2,469,42:47.0,,,2,2,1,1,15,4,35,4,1
205,19513A6C-1E8D-4B8D-8570-628692E46DDF,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,04:47.0,,S-O21-PRYE-019,6898,,1.61,582,22:14.0,22:14.0,,2,1,2,2,1,5,35,5,19
207,1AEB9CB5-8CD9-46E9-A93C-62DB6D2BEF4F,red mulberry,Morus,rubra,NA,MORU2               ,189796,19:40.0,26:01.1,S-R21-MORU-006,3306,,13,330,20:52.0,,,2,2,1,2,1,4,35,4,46
208,39D5F4D1-5B57-4804-A086-632CEFC557D4,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,52:31.0,52:43.7,S-P21-LAUN-049,6931,"Multistemmed, the DBH of the other stems are 2.5, 2.5, 2.2, 2.6, 3.",2.91,408,56:02.0,,Close to an urban farm.,2,1,1,2,5,3,35,5,64
210,05F30F5C-0DDB-4D00-8491-651460996D62,unlisted plant,,,NA,,189796,30:54.0,,S-M19-NYSY-010,59420,"Multistemmed, second trunk 12.5""",12.3,454,32:41.0,,"Potentially more dieback, but could be due to self pruning",2,2,1,2,5,1,35,4,10
212,D2F24898-7BDE-4FA6-AD11-653D4F19EED2,peach,Prunus,persica,NA,PRPE3               ,179696,21:32.0,11:23.7,S-O21-PRPE-023,6920,,1.4,130,24:19.0,,DBH measured at 2'11''.,2,1,2,2,1,5,25,5,18
213,4FD0780A-6C41-4B4D-A404-654D61999FB3,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,37:35.0,,S-R21-CACA-040,3258,,1.1,349,38:18.0,,Protection at base; straw on the base.,2,1,2,1,5,5,35,5,57
214,865DBAAE-BE5F-4C3E-90BE-65B0DB57E931,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,04:27.0,,S-R21-CACA-035,3258,,1,344,05:28.0,,Root diaper; protection at nase.,2,1,2,1,1,4,55,5,8
215,B16133F8-2A08-426E-84C6-65C5C1DA5CAA,Norway maple,Acer,platanoides,NA,ACPL                ,189796,58:23.0,,S-P21-ACPL-060,3002,,0.89,418,59:25.0,,"We hypothesize this tree to be an Acer platanoides (Noway maple), even if it is recorded in the city inventory as an Acer truncatus (Shantung maple); leaves are scorched.",2,3,3,3,1,5,45,3,79
216,1DCB57DA-DE4D-4AE8-B05A-669FAD154878,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,32:28.0,,S-R21-CACA-009,3258,,0.75,333,33:27.0,,,2,1,2,1,5,5,45,5,51
